idx,raw_dtw,emb_dtw,emb_cam_dtw,is_event,date
205,2.361999855041504,0.9495507537915348,1.2550369543301436,0,2024-02-02
206,2.3419998550415038,1.0068537831625493,1.1758903969982948,0,2024-02-05
207,2.3183998489379882,1.03391476837405,1.246883067286882,0,2024-02-06
208,2.3063998413085938,1.051539503595087,1.3643842226478295,0,2024-02-07
209,2.3007998275756836,0.9778863223461484,1.0890532962927335,0,2024-02-08
210,2.2867998123168944,0.8534793127613953,0.9972619482031425,0,2024-02-09
211,2.2775997924804687,0.9985156589533175,1.1018463704460366,0,2024-02-12
212,2.228399772644043,1.0099174095928949,1.2997151996712697,0,2024-02-13
213,2.0370368604306823,1.1330245958494543,1.4533037765359966,0,2024-02-14
214,2.611904507591611,1.1847007824893951,1.580073924910513,0,2024-02-15
215,2.6180949892316545,1.2511125745966296,1.6477334359776363,0,2024-02-16
216,2.136399765014648,1.3018211393908277,1.7262389341095765,0,2024-02-19
217,2.0355997467041016,1.374661255427602,1.7977774599462628,0,2024-02-20
218,1.7255552786367911,1.5004582288472412,1.9745626579646158,0,2024-02-21
219,1.6222219467163086,1.4264815764303054,2.051371456951856,0,2024-02-22
220,1.5148145534374093,1.3242373097375173,1.8321457916753707,0,2024-02-23
221,1.401428324835641,1.1731866074916646,1.579702152216127,0,2024-02-26
222,1.3079308148088127,1.194416713187646,1.383839144067809,0,2024-02-27
223,1.295861869022764,0.9212474618926696,1.1081083730956167,0,2024-02-28
224,1.3599997929164342,0.9083667682600916,1.139490832425121,0,2024-02-29
225,1.4633331652040835,0.9078883278633072,1.1178050481157584,0,2024-03-01
226,1.6296151968149037,0.6890577795740862,0.8727982477449849,0,2024-03-04
227,1.490689507846175,0.6536313279008409,0.9318869105340014,0,2024-03-05
228,1.431724022174704,0.6522826581995815,0.8359936926223616,0,2024-03-06
229,1.4139284406389514,0.6937354979310457,0.848720654765088,0,2024-03-07
230,1.4017856461661207,0.7600730219597409,0.965771780809561,0,2024-03-08
231,1.3624999182564876,0.9350562074385104,1.1632151452649857,0,2024-03-11
232,1.347777649208352,0.9927637188106655,1.2515461760111506,0,2024-03-12
233,1.4240739610460074,0.9915880456453436,1.1900547999772757,0,2024-03-13
234,1.5203845317547144,1.1343488460595565,1.274513623888776,0,2024-03-14
235,1.539615374345046,1.3316979112610503,1.476516610941995,0,2024-03-15
236,1.5511538798992452,1.468235204012612,1.8133227470553812,0,2024-03-18
237,1.2883870832381714,1.349115682371622,1.7389364102973621,0,2024-03-19
238,1.2293939301461885,1.0920674625894944,1.3701597786984112,0,2024-03-20
239,1.538928474698748,0.6927322568067529,0.8814573259489479,0,2024-03-21
240,1.52275851677204,0.6894287773264783,0.884012809518475,0,2024-03-22
241,1.47666654586792,0.7051518895310811,0.8289759147820441,0,2024-03-25
242,1.5441377902853077,0.7032750521059823,0.8557821785829252,0,2024-03-26
243,1.6171427454267229,0.6662042295502028,0.8047809401430517,0,2024-03-27
244,1.7277776930067275,0.6543869587521997,0.761591140212631,0,2024-03-28
245,1.8211537507864146,0.6780230150599786,0.7826548168446251,0,2024-03-29
246,1.9103998947143555,0.7265225364954213,0.8310352404853332,0,2024-04-01
247,1.8453845244187579,0.9836278878473381,1.145471024188554,0,2024-04-02
248,1.9227999496459964,0.9973486387692452,1.1481524018292244,0,2024-04-03
249,1.9487999725341796,1.0463675239710333,1.1786325672896896,0,2024-04-04
250,1.8581482216163918,1.312407821774207,1.6307834160681454,0,2024-04-05
251,1.907692395723783,1.4928646964479457,1.9142938819134059,0,2024-04-08
252,1.9847999572753907,1.6452706296847899,2.1208363527394836,0,2024-04-09
253,1.8631999588012698,1.8332131567883092,2.3510670742184603,0,2024-04-10
254,1.7751999664306644,1.7559715546406736,2.3102070971374435,0,2024-04-11
255,1.6615999221801758,1.5551676480646364,1.9722133806444233,0,2024-04-12
256,1.6827999114990235,1.3586933551092866,1.8413328456954836,0,2024-04-15
257,1.6880767895625188,1.2797478773034836,1.7714297528434337,0,2024-04-16
258,1.6992305975693927,1.3335819856379674,1.8404074977337348,0,2024-04-17
