date,is_event,concept,sign_score,positive_mass,mean_dd,cam_weighted_pos_mass
2024-10-18,0,0,0.0,0.0,-0.002544546746322453,0.0
2024-10-21,0,0,0.0,0.0,-0.002458008222879421,0.0
2024-10-22,0,0,0.0,0.0,-0.0023321615940237227,0.0
2024-10-23,0,0,0.0,0.0,-0.0021291653922852374,0.0
2024-10-24,0,0,0.0,0.0,-0.0018941733387544736,0.0
2024-10-25,0,0,0.0,0.0,-0.0015393893058394223,0.0
2024-10-28,0,0,0.0,0.0,-0.0014183600484729423,0.0
2024-10-29,0,0,0.0,0.0,-0.0011786729208174461,0.0
2024-10-30,0,0,0.0,0.0,-0.0011767719722884078,0.0
2024-10-31,0,0,0.0,0.0,-0.0011738880822027412,0.0
2024-11-01,0,0,0.0,0.0,-0.0010851985413919043,0.0
2024-11-04,0,0,0.0,0.0,-0.00112252638961177,0.0
2024-11-05,0,0,0.0,0.0,-0.0013637633657139245,0.0
2024-11-06,0,0,0.0,0.0,-0.0013184221618122009,0.0
2024-11-07,0,0,0.0,0.0,-0.001607114014504233,0.0
2024-11-08,0,0,0.0,0.0,-0.001138634883813374,0.0
2024-11-11,0,0,0.0,0.0,-0.001323127499384513,0.0
2024-11-12,0,0,0.0,0.0,-0.0014696778885531375,0.0
2024-11-13,0,0,0.0,0.0,-0.0015870356558511198,0.0
2024-11-14,0,0,0.0,0.0,-0.0018473448150900546,0.0
2024-11-15,0,0,0.0,0.0,-0.002048658734639759,0.0
2024-11-18,0,0,0.0,0.0,-0.002814011703608164,0.0
2024-11-19,0,0,0.0,0.0,-0.003003511140262088,0.0
2024-11-20,0,0,0.0,0.0,-0.0033357499608726777,0.0
2024-11-21,0,0,0.0,0.0,-0.003313036951965563,0.0
2024-11-22,0,0,0.0,0.0,-0.003293947655709344,0.0
2024-11-25,0,0,0.0,0.0,-0.003265829936650659,0.0
2024-11-26,0,0,0.0,0.0,-0.0024268274040391,0.0
2024-11-27,0,0,0.0,0.0,-0.002456085894088596,0.0
2024-11-28,0,0,0.0,0.0,-0.0024382889552735,0.0
2024-11-29,0,0,0.0,0.0,-0.002685702258963072,0.0
2024-12-02,0,0,0.0,0.0,-0.0016162517422944078,0.0
2024-12-03,0,0,0.0,0.0,-0.001242762668966163,0.0
2024-12-04,0,0,0.0,0.0,-0.0009364586447443444,0.0
2024-12-05,0,0,0.0,0.0,-0.0009946301562474308,0.0
2024-12-06,0,0,0.0,0.0,-0.001125231958721598,0.0
